3160 41.274
65.155 2 1549
65.345 1 1554
66.864 0 1590
67.054 1 1594
67.623 3 1608
68.003 2 1617
68.383 1 1626
68.763 2 1635
69.142 1 1644
69.522 1 1653
69.902 0 1662
70.282 0 1671
70.661 1 1680
71.041 2 1689
71.421 3 1698
71.801 1 1707
72.180 3 1716
72.560 2 1725
72.750 3 1730
72.940 3 1735
74.459 0 1771
74.649 0 1775
74.839 1 1780
75.218 2 1789
75.598 3 1798
75.978 3 1807
76.168 3 1811
76.358 2 1816
76.737 2 1825
77.117 1 1834
77.497 0 1819
77.687 0 1824
78.256 3 1861
78.636 2 1870
79.016 1 1879
79.206 0 1884
79.396 1 1888
79.586 2 1893
79.775 1 1897
79.965 0 1902
80.155 1 1906
80.345 2 1911
80.535 3 1915
80.915 3 1924
81.294 2 1933
81.674 1 1942
82.054 0 1951
82.434 2 1960
82.813 3 1970
83.193 2 1979
83.573 1 1988
83.763 2 1992
83.953 2 1997
84.142 2 2001
84.332 2 2006
84.712 1 2015
84.902 0 2019
85.092 1 2024
85.472 3 2033
85.851 2 2042
86.231 1 2051
86.611 2 2060
86.991 0 2069
87.370 3 2078
87.750 0 2087
88.130 2 2096
88.320 0 2101
88.510 0 2105
88.699 2 2110
88.889 1 2114
89.079 0 2119
89.269 0 2123
89.649 3 2132
90.598 1 2155
90.788 2 2159
90.978 1 2164
91.168 0 2169
91.358 0 2173
91.548 0 2178
91.927 2 2187
92.117 3 2191
92.497 2 2200
92.687 3 2205
93.067 1 2214
93.256 2 2218
93.446 3 2223
93.826 2 2232
94.016 3 2236
94.206 2 2241
94.586 1 2250
94.965 0 2259
95.345 0 2268
95.535 1 2273
95.725 2 2277
96.104 2 2286
96.864 3 2304
97.054 2 2309
97.244 1 2313
97.623 0 2322
98.763 2 2349
98.953 3 2354
99.332 0 2363
99.522 1 2367
99.712 1 2372
100.282 0 2385
100.535 1 2392
100.788 0 2397
101.041 1 2404
101.294 0 2410
101.548 1 2416
101.801 1 2422
102.180 1 2431
102.560 2 2440
102.940 3 2449
103.320 2 2458
103.699 1 2467
104.079 0 2476
104.712 0 2491
104.839 1 2494
105.472 3 2509
105.598 2 2512
106.358 0 2530
107.497 2 2557
107.623 3 2560
107.877 2 2566
108.256 0 2576
109.016 1 2593
109.396 1 2603
109.586 2 2607
109.775 2 2612
110.155 1 2621
110.345 0 2625
110.535 1 2630
110.725 1 2634
110.915 2 2639
111.104 3 2643
112.054 1 2666
112.244 0 2670
112.434 1 2675
112.623 2 2679
112.813 3 2684
113.003 2 2688
113.193 1 2693
113.383 0 2697
113.573 0 2702
113.763 0 2707
113.953 2 2711
114.142 2 2716
114.332 3 2720
114.522 1 2725
114.712 1 2729
114.902 0 2734
115.092 0 2738
115.472 1 2747
115.661 2 2752
115.851 3 2756
115.978 2 2759
116.104 1 2762
116.231 2 2765
116.421 3 2770
116.611 3 2774
117.180 0 2788
117.370 0 2792
117.750 1 2801
118.130 2 2810
118.510 3 2820
118.889 2 2829
119.269 2 2838
119.649 0 2847
120.218 0 2860
120.408 1 2865
120.598 2 2869
120.788 3 2874
120.978 2 2878
121.168 1 2883
121.358 2 2887
121.548 3 2892
122.370 3 2911
123.130 2 2930
123.889 3 2948
124.712 1 2967
125.472 0 2985
126.231 1 3003
126.991 2 3021
128.067 2 3047
128.130 3 3048


